TimeStamp,,,,TimeStamp,,Specification,Values_0,Unit,TimeStamp_30,,Values_30
16:11:21.999 -> Flow rate: 66.67 L/m,,,,11:22.0,->,Flow rate:,66.67,L/m,00:22.5,,61.67
16:11:22.094 -> Flow rate: 66.67 L/m,,,,11:22.1,->,Flow rate:,66.67,L/m,00:22.6,,61.67
16:11:22.192 -> Flow rate: 66.67 L/m,,,,11:22.2,->,Flow rate:,66.67,L/m,00:22.7,,61.67
16:11:22.285 -> Flow rate: 66.67 L/m,,,,11:22.3,->,Flow rate:,66.67,L/m,00:22.8,,61.67
16:11:22.381 -> Flow rate: 58.33 L/m,,,,11:22.4,->,Flow rate:,58.33,L/m,00:22.9,,53.33
16:11:22.475 -> Flow rate: 66.67 L/m,,,,11:22.5,->,Flow rate:,66.67,L/m,00:23.0,,61.67
16:11:22.570 -> Flow rate: 58.33 L/m,,,,11:22.6,->,Flow rate:,58.33,L/m,00:23.1,,53.33
16:11:22.666 -> Flow rate: 66.67 L/m,,,,11:22.7,->,Flow rate:,66.67,L/m,00:23.2,,61.67
16:11:22.809 -> Flow rate: 58.33 L/m,,,,11:22.8,->,Flow rate:,58.33,L/m,00:23.3,,53.33
16:11:22.904 -> Flow rate: 58.33 L/m,,,,11:22.9,->,Flow rate:,58.33,L/m,00:23.4,,53.33
16:11:22.998 -> Flow rate: 58.33 L/m,,,,11:23.0,->,Flow rate:,58.33,L/m,00:23.5,,53.33
16:11:23.092 -> Flow rate: 58.33 L/m,,,,11:23.1,->,Flow rate:,58.33,L/m,00:23.6,,53.33
16:11:23.186 -> Flow rate: 66.67 L/m,,,,11:23.2,->,Flow rate:,66.67,L/m,00:23.7,,61.67
16:11:23.280 -> Flow rate: 58.33 L/m,,,,11:23.3,->,Flow rate:,58.33,L/m,00:23.8,,53.33
16:11:23.374 -> Flow rate: 58.33 L/m,,,,11:23.4,->,Flow rate:,58.33,L/m,00:23.9,,53.33
16:11:23.469 -> Flow rate: 58.33 L/m,,,,11:23.5,->,Flow rate:,58.33,L/m,00:24.0,,53.33
16:11:23.612 -> Flow rate: 66.67 L/m,,,,11:23.6,->,Flow rate:,66.67,L/m,00:24.1,,61.67
16:11:23.707 -> Flow rate: 66.67 L/m,,,,11:23.7,->,Flow rate:,66.67,L/m,00:24.2,,61.67
16:11:23.802 -> Flow rate: 58.33 L/m,,,,11:23.8,->,Flow rate:,58.33,L/m,00:24.3,,53.33
16:11:23.898 -> Flow rate: 66.67 L/m,,,,11:23.9,->,Flow rate:,66.67,L/m,00:24.4,,61.67
16:11:23.993 -> Flow rate: 66.67 L/m,,,,11:24.0,->,Flow rate:,66.67,L/m,00:24.5,,61.67
16:11:24.087 -> Flow rate: 58.33 L/m,,,,11:24.1,->,Flow rate:,58.33,L/m,00:24.6,,53.33
16:11:24.181 -> Flow rate: 66.67 L/m,,,,11:24.2,->,Flow rate:,66.67,L/m,00:24.7,,61.67
16:11:24.274 -> Flow rate: 66.67 L/m,,,,11:24.3,->,Flow rate:,66.67,L/m,00:24.8,,61.67
16:11:24.368 -> Flow rate: 66.67 L/m,,,,11:24.4,->,Flow rate:,66.67,L/m,00:24.9,,61.67
16:11:24.509 -> Flow rate: 66.67 L/m,,,,11:24.5,->,Flow rate:,66.67,L/m,00:25.0,,61.67
16:11:24.603 -> Flow rate: 66.67 L/m,,,,11:24.6,->,Flow rate:,66.67,L/m,00:25.1,,61.67
16:11:24.698 -> Flow rate: 66.67 L/m,,,,11:24.7,->,Flow rate:,66.67,L/m,00:25.2,,61.67
16:11:24.793 -> Flow rate: 66.67 L/m,,,,11:24.8,->,Flow rate:,66.67,L/m,00:25.3,,61.67
16:11:24.887 -> Flow rate: 66.67 L/m,,,,11:24.9,->,Flow rate:,66.67,L/m,00:25.4,,61.67
16:11:24.982 -> Flow rate: 66.67 L/m,,,,11:25.0,->,Flow rate:,66.67,L/m,00:25.5,,61.67
16:11:25.078 -> Flow rate: 66.67 L/m,,,,11:25.1,->,Flow rate:,66.67,L/m,00:25.6,,61.67
16:11:25.173 -> Flow rate: 66.67 L/m,,,,11:25.2,->,Flow rate:,66.67,L/m,00:25.7,,61.67
16:11:25.269 -> Flow rate: 66.67 L/m,,,,11:25.3,->,Flow rate:,66.67,L/m,00:25.8,,61.67
16:11:25.364 -> Flow rate: 66.67 L/m,,,,11:25.4,->,Flow rate:,66.67,L/m,00:25.9,,61.67
16:11:25.507 -> Flow rate: 58.33 L/m,,,,11:25.5,->,Flow rate:,58.33,L/m,00:26.0,,53.33
16:11:25.602 -> Flow rate: 66.67 L/m,,,,11:25.6,->,Flow rate:,66.67,L/m,00:26.1,,61.67
16:11:25.681 -> Flow rate: 66.67 L/m,,,,11:25.7,->,Flow rate:,66.67,L/m,00:26.2,,61.67
16:11:25.776 -> Flow rate: 66.67 L/m,,,,11:25.8,->,Flow rate:,66.67,L/m,00:26.3,,61.67
16:11:25.871 -> Flow rate: 66.67 L/m,,,,11:25.9,->,Flow rate:,66.67,L/m,00:26.4,,61.67
16:11:25.967 -> Flow rate: 66.67 L/m,,,,11:26.0,->,Flow rate:,66.67,L/m,00:26.5,,61.67
16:11:26.108 -> Flow rate: 66.67 L/m,,,,11:26.1,->,Flow rate:,66.67,L/m,00:26.6,,61.67
16:11:26.203 -> Flow rate: 66.67 L/m,,,,11:26.2,->,Flow rate:,66.67,L/m,00:26.7,,61.67
16:11:26.299 -> Flow rate: 66.67 L/m,,,,11:26.3,->,Flow rate:,66.67,L/m,00:26.8,,61.67
16:11:26.394 -> Flow rate: 66.67 L/m,,,,11:26.4,->,Flow rate:,66.67,L/m,00:26.9,,61.67
16:11:26.475 -> Flow rate: 66.67 L/m,,,,11:26.5,->,Flow rate:,66.67,L/m,00:27.0,,61.67
16:11:26.572 -> Flow rate: 66.67 L/m,,,,11:26.6,->,Flow rate:,66.67,L/m,00:27.1,,61.67
16:11:26.699 -> Flow rate: 58.33 L/m,,,,11:26.7,->,Flow rate:,58.33,L/m,00:27.2,,53.33
16:11:26.794 -> Flow rate: 66.67 L/m,,,,11:26.8,->,Flow rate:,66.67,L/m,00:27.3,,61.67
16:11:26.874 -> Flow rate: 66.67 L/m,,,,11:26.9,->,Flow rate:,66.67,L/m,00:27.4,,61.67
16:11:26.969 -> Flow rate: 66.67 L/m,,,,11:27.0,->,Flow rate:,66.67,L/m,00:27.5,,61.67
16:11:27.064 -> Flow rate: 66.67 L/m,,,,11:27.1,->,Flow rate:,66.67,L/m,00:27.6,,61.67
16:11:27.192 -> Flow rate: 66.67 L/m,,,,11:27.2,->,Flow rate:,66.67,L/m,00:27.7,,61.67
16:11:27.287 -> Flow rate: 66.67 L/m,,,,11:27.3,->,Flow rate:,66.67,L/m,00:27.8,,61.67
16:11:27.367 -> Flow rate: 66.67 L/m,,,,11:27.4,->,Flow rate:,66.67,L/m,00:27.9,,61.67
16:11:27.494 -> Flow rate: 58.33 L/m,,,,11:27.5,->,Flow rate:,58.33,L/m,00:28.0,,53.33
16:11:27.576 -> Flow rate: 66.67 L/m,,,,11:27.6,->,Flow rate:,66.67,L/m,00:28.1,,61.67
16:11:27.704 -> Flow rate: 58.33 L/m,,,,11:27.7,->,Flow rate:,58.33,L/m,00:28.2,,53.33
16:11:27.798 -> Flow rate: 66.67 L/m,,,,11:27.8,->,Flow rate:,66.67,L/m,00:28.3,,61.67
16:11:27.893 -> Flow rate: 58.33 L/m,,,,11:27.9,->,Flow rate:,58.33,L/m,00:28.4,,53.33
16:11:27.989 -> Flow rate: 66.67 L/m,,,,11:28.0,->,Flow rate:,66.67,L/m,00:28.5,,61.67
16:11:28.085 -> Flow rate: 58.33 L/m,,,,11:28.1,->,Flow rate:,58.33,L/m,00:28.6,,53.33
16:11:28.179 -> Flow rate: 58.33 L/m,,,,11:28.2,->,Flow rate:,58.33,L/m,00:28.7,,53.33
16:11:28.275 -> Flow rate: 58.33 L/m,,,,11:28.3,->,Flow rate:,58.33,L/m,00:28.8,,53.33
16:11:28.401 -> Flow rate: 66.67 L/m,,,,11:28.4,->,Flow rate:,66.67,L/m,00:28.9,,61.67
16:11:28.496 -> Flow rate: 58.33 L/m,,,,11:28.5,->,Flow rate:,58.33,L/m,00:29.0,,53.33
16:11:28.608 -> Flow rate: 66.67 L/m,,,,11:28.6,->,Flow rate:,66.67,L/m,00:29.1,,61.67
16:11:28.671 -> Flow rate: 58.33 L/m,,,,11:28.7,->,Flow rate:,58.33,L/m,00:29.2,,53.33
16:11:28.798 -> Flow rate: 66.67 L/m,,,,11:28.8,->,Flow rate:,66.67,L/m,00:29.3,,61.67
16:11:28.892 -> Flow rate: 66.67 L/m,,,,11:28.9,->,Flow rate:,66.67,L/m,00:29.4,,61.67
16:11:28.987 -> Flow rate: 58.33 L/m,,,,11:29.0,->,Flow rate:,58.33,L/m,00:29.5,,53.33
16:11:29.081 -> Flow rate: 66.67 L/m,,,,11:29.1,->,Flow rate:,66.67,L/m,00:29.6,,61.67
16:11:29.175 -> Flow rate: 66.67 L/m,,,,11:29.2,->,Flow rate:,66.67,L/m,00:29.7,,61.67
16:11:29.271 -> Flow rate: 66.67 L/m,,,,11:29.3,->,Flow rate:,66.67,L/m,00:29.8,,61.67
16:11:29.366 -> Flow rate: 58.33 L/m,,,,11:29.4,->,Flow rate:,58.33,L/m,00:29.9,,53.33
16:11:29.479 -> Flow rate: 66.67 L/m,,,,11:29.5,->,Flow rate:,66.67,L/m,00:30.0,,61.67
16:11:29.575 -> Flow rate: 58.33 L/m,,,,11:29.6,->,Flow rate:,58.33,L/m,00:30.1,,53.33
16:11:29.670 -> Flow rate: 66.67 L/m,,,,11:29.7,->,Flow rate:,66.67,L/m,00:30.2,,61.67
16:11:29.765 -> Flow rate: 66.67 L/m,,,,11:29.8,->,Flow rate:,66.67,L/m,00:30.3,,61.67
16:11:29.892 -> Flow rate: 66.67 L/m,,,,11:29.9,->,Flow rate:,66.67,L/m,00:30.4,,61.67
16:11:29.987 -> Flow rate: 66.67 L/m,,,,11:30.0,->,Flow rate:,66.67,L/m,00:30.5,,61.67
16:11:30.082 -> Flow rate: 58.33 L/m,,,,11:30.1,->,Flow rate:,58.33,L/m,00:30.6,,53.33
16:11:30.177 -> Flow rate: 66.67 L/m,,,,11:30.2,->,Flow rate:,66.67,L/m,00:30.7,,61.67
16:11:30.271 -> Flow rate: 66.67 L/m,,,,11:30.3,->,Flow rate:,66.67,L/m,00:30.8,,61.67
16:11:30.366 -> Flow rate: 66.67 L/m,,,,11:30.4,->,Flow rate:,66.67,L/m,00:30.9,,61.67
16:11:30.494 -> Flow rate: 66.67 L/m,,,,11:30.5,->,Flow rate:,66.67,L/m,00:31.0,,61.67
16:11:30.574 -> Flow rate: 66.67 L/m,,,,11:30.6,->,Flow rate:,66.67,L/m,00:31.1,,61.67
16:11:30.670 -> Flow rate: 58.33 L/m,,,,11:30.7,->,Flow rate:,58.33,L/m,00:31.2,,53.33
16:11:30.764 -> Flow rate: 66.67 L/m,,,,11:30.8,->,Flow rate:,66.67,L/m,00:31.3,,61.67
16:11:30.906 -> Flow rate: 66.67 L/m,,,,11:30.9,->,Flow rate:,66.67,L/m,00:31.4,,61.67
16:11:31.001 -> Flow rate: 58.33 L/m,,,,11:31.0,->,Flow rate:,58.33,L/m,00:31.5,,53.33
16:11:31.095 -> Flow rate: 66.67 L/m,,,,11:31.1,->,Flow rate:,66.67,L/m,00:31.6,,61.67
16:11:31.190 -> Flow rate: 66.67 L/m,,,,11:31.2,->,Flow rate:,66.67,L/m,00:31.7,,61.67
16:11:31.285 -> Flow rate: 66.67 L/m,,,,11:31.3,->,Flow rate:,66.67,L/m,00:31.8,,61.67
16:11:31.379 -> Flow rate: 66.67 L/m,,,,11:31.4,->,Flow rate:,66.67,L/m,00:31.9,,61.67
16:11:31.474 -> Flow rate: 66.67 L/m,,,,11:31.5,->,Flow rate:,66.67,L/m,00:32.0,,61.67
16:11:31.569 -> Flow rate: 66.67 L/m,,,,11:31.6,->,Flow rate:,66.67,L/m,00:32.1,,61.67
16:11:31.664 -> Flow rate: 66.67 L/m,,,,11:31.7,->,Flow rate:,66.67,L/m,00:32.2,,61.67
16:11:31.759 -> Flow rate: 66.67 L/m,,,,11:31.8,->,Flow rate:,66.67,L/m,00:32.3,,61.67
16:11:31.901 -> Flow rate: 66.67 L/m,,,,11:31.9,->,Flow rate:,66.67,L/m,00:32.4,,61.67
16:11:31.997 -> Flow rate: 66.67 L/m,,,,11:32.0,->,Flow rate:,66.67,L/m,00:32.5,,61.67
16:11:32.091 -> Flow rate: 66.67 L/m,,,,11:32.1,->,Flow rate:,66.67,L/m,00:32.6,,61.67
16:11:32.186 -> Flow rate: 58.33 L/m,,,,11:32.2,->,Flow rate:,58.33,L/m,00:32.7,,53.33
16:11:32.280 -> Flow rate: 66.67 L/m,,,,11:32.3,->,Flow rate:,66.67,L/m,00:32.8,,61.67
16:11:32.375 -> Flow rate: 75.00 L/m,,,,11:32.4,->,Flow rate:,75,L/m,00:32.9,,70
16:11:32.470 -> Flow rate: 58.33 L/m,,,,11:32.5,->,Flow rate:,58.33,L/m,00:33.0,,53.33
16:11:32.565 -> Flow rate: 66.67 L/m,,,,11:32.6,->,Flow rate:,66.67,L/m,00:33.1,,61.67
16:11:32.661 -> Flow rate: 66.67 L/m,,,,11:32.7,->,Flow rate:,66.67,L/m,00:33.2,,61.67
16:11:32.803 -> Flow rate: 66.67 L/m,,,,11:32.8,->,Flow rate:,66.67,L/m,00:33.3,,61.67
16:11:32.898 -> Flow rate: 66.67 L/m,,,,11:32.9,->,Flow rate:,66.67,L/m,00:33.4,,61.67
16:11:32.993 -> Flow rate: 66.67 L/m,,,,11:33.0,->,Flow rate:,66.67,L/m,00:33.5,,61.67
16:11:33.072 -> Flow rate: 66.67 L/m,,,,11:33.1,->,Flow rate:,66.67,L/m,00:33.6,,61.67
16:11:33.166 -> Flow rate: 66.67 L/m,,,,11:33.2,->,Flow rate:,66.67,L/m,00:33.7,,61.67
16:11:33.310 -> Flow rate: 66.67 L/m,,,,11:33.3,->,Flow rate:,66.67,L/m,00:33.8,,61.67
16:11:33.404 -> Flow rate: 58.33 L/m,,,,11:33.4,->,Flow rate:,58.33,L/m,00:33.9,,53.33
16:11:33.484 -> Flow rate: 66.67 L/m,,,,11:33.5,->,Flow rate:,66.67,L/m,00:34.0,,61.67
16:11:33.562 -> Flow rate: 66.67 L/m,,,,11:33.6,->,Flow rate:,66.67,L/m,00:34.1,,61.67
16:11:33.704 -> Flow rate: 66.67 L/m,,,,11:33.7,->,Flow rate:,66.67,L/m,00:34.2,,61.67
16:11:33.799 -> Flow rate: 58.33 L/m,,,,11:33.8,->,Flow rate:,58.33,L/m,00:34.3,,53.33
16:11:33.895 -> Flow rate: 66.67 L/m,,,,11:33.9,->,Flow rate:,66.67,L/m,00:34.4,,61.67
16:11:33.975 -> Flow rate: 58.33 L/m,,,,11:34.0,->,Flow rate:,58.33,L/m,00:34.5,,53.33
16:11:34.070 -> Flow rate: 66.67 L/m,,,,11:34.1,->,Flow rate:,66.67,L/m,00:34.6,,61.67
16:11:34.165 -> Flow rate: 66.67 L/m,,,,11:34.2,->,Flow rate:,66.67,L/m,00:34.7,,61.67
16:11:34.292 -> Flow rate: 66.67 L/m,,,,11:34.3,->,Flow rate:,66.67,L/m,00:34.8,,61.67
16:11:34.372 -> Flow rate: 66.67 L/m,,,,11:34.4,->,Flow rate:,66.67,L/m,00:34.9,,61.67
16:11:34.468 -> Flow rate: 66.67 L/m,,,,11:34.5,->,Flow rate:,66.67,L/m,00:35.0,,61.67
16:11:34.563 -> Flow rate: 66.67 L/m,,,,11:34.6,->,Flow rate:,66.67,L/m,00:35.1,,61.67
16:11:34.705 -> Flow rate: 58.33 L/m,,,,11:34.7,->,Flow rate:,58.33,L/m,00:35.2,,53.33
16:11:34.799 -> Flow rate: 66.67 L/m,,,,11:34.8,->,Flow rate:,66.67,L/m,00:35.3,,61.67
16:11:34.894 -> Flow rate: 66.67 L/m,,,,11:34.9,->,Flow rate:,66.67,L/m,00:35.4,,61.67
16:11:34.989 -> Flow rate: 58.33 L/m,,,,11:35.0,->,Flow rate:,58.33,L/m,00:35.5,,53.33
16:11:35.084 -> Flow rate: 66.67 L/m,,,,11:35.1,->,Flow rate:,66.67,L/m,00:35.6,,61.67
16:11:35.178 -> Flow rate: 66.67 L/m,,,,11:35.2,->,Flow rate:,66.67,L/m,00:35.7,,61.67
16:11:35.305 -> Flow rate: 66.67 L/m,,,,11:35.3,->,Flow rate:,66.67,L/m,00:35.8,,61.67
16:11:35.400 -> Flow rate: 66.67 L/m,,,,11:35.4,->,Flow rate:,66.67,L/m,00:35.9,,61.67
16:11:35.494 -> Flow rate: 66.67 L/m,,,,11:35.5,->,Flow rate:,66.67,L/m,00:36.0,,61.67
16:11:35.589 -> Flow rate: 66.67 L/m,,,,11:35.6,->,Flow rate:,66.67,L/m,00:36.1,,61.67
16:11:35.684 -> Flow rate: 66.67 L/m,,,,11:35.7,->,Flow rate:,66.67,L/m,00:36.2,,61.67
16:11:35.779 -> Flow rate: 58.33 L/m,,,,11:35.8,->,Flow rate:,58.33,L/m,00:36.3,,53.33
16:11:35.872 -> Flow rate: 66.67 L/m,,,,11:35.9,->,Flow rate:,66.67,L/m,00:36.4,,61.67
16:11:35.966 -> Flow rate: 66.67 L/m,,,,11:36.0,->,Flow rate:,66.67,L/m,00:36.5,,61.67
16:11:36.108 -> Flow rate: 66.67 L/m,,,,11:36.1,->,Flow rate:,66.67,L/m,00:36.6,,61.67
16:11:36.204 -> Flow rate: 58.33 L/m,,,,11:36.2,->,Flow rate:,58.33,L/m,00:36.7,,53.33
16:11:36.298 -> Flow rate: 66.67 L/m,,,,11:36.3,->,Flow rate:,66.67,L/m,00:36.8,,61.67
16:11:36.392 -> Flow rate: 58.33 L/m,,,,11:36.4,->,Flow rate:,58.33,L/m,00:36.9,,53.33
16:11:36.485 -> Flow rate: 58.33 L/m,,,,11:36.5,->,Flow rate:,58.33,L/m,00:37.0,,53.33
16:11:36.579 -> Flow rate: 58.33 L/m,,,,11:36.6,->,Flow rate:,58.33,L/m,00:37.1,,53.33
16:11:36.673 -> Flow rate: 58.33 L/m,,,,11:36.7,->,Flow rate:,58.33,L/m,00:37.2,,53.33
16:11:36.768 -> Flow rate: 66.67 L/m,,,,11:36.8,->,Flow rate:,66.67,L/m,00:37.3,,61.67
16:11:36.866 -> Flow rate: 66.67 L/m,,,,11:36.9,->,Flow rate:,66.67,L/m,00:37.4,,61.67
16:11:37.006 -> Flow rate: 58.33 L/m,,,,11:37.0,->,Flow rate:,58.33,L/m,00:37.5,,53.33
16:11:37.101 -> Flow rate: 66.67 L/m,,,,11:37.1,->,Flow rate:,66.67,L/m,00:37.6,,61.67
16:11:37.197 -> Flow rate: 66.67 L/m,,,,11:37.2,->,Flow rate:,66.67,L/m,00:37.7,,61.67
16:11:37.292 -> Flow rate: 58.33 L/m,,,,11:37.3,->,Flow rate:,58.33,L/m,00:37.8,,53.33
16:11:37.385 -> Flow rate: 66.67 L/m,,,,11:37.4,->,Flow rate:,66.67,L/m,00:37.9,,61.67
16:11:37.479 -> Flow rate: 66.67 L/m,,,,11:37.5,->,Flow rate:,66.67,L/m,00:38.0,,61.67
16:11:37.573 -> Flow rate: 66.67 L/m,,,,11:37.6,->,Flow rate:,66.67,L/m,00:38.1,,61.67
16:11:37.666 -> Flow rate: 66.67 L/m,,,,11:37.7,->,Flow rate:,66.67,L/m,00:38.2,,61.67
16:11:37.809 -> Flow rate: 66.67 L/m,,,,11:37.8,->,Flow rate:,66.67,L/m,00:38.3,,61.67
16:11:37.902 -> Flow rate: 58.33 L/m,,,,11:37.9,->,Flow rate:,58.33,L/m,00:38.4,,53.33
16:11:37.996 -> Flow rate: 66.67 L/m,,,,11:38.0,->,Flow rate:,66.67,L/m,00:38.5,,61.67
16:11:38.090 -> Flow rate: 66.67 L/m,,,,11:38.1,->,Flow rate:,66.67,L/m,00:38.6,,61.67
16:11:38.184 -> Flow rate: 66.67 L/m,,,,11:38.2,->,Flow rate:,66.67,L/m,00:38.7,,61.67
16:11:38.277 -> Flow rate: 66.67 L/m,,,,11:38.3,->,Flow rate:,66.67,L/m,00:38.8,,61.67
16:11:38.371 -> Flow rate: 66.67 L/m,,,,11:38.4,->,Flow rate:,66.67,L/m,00:38.9,,61.67
16:11:38.465 -> Flow rate: 66.67 L/m,,,,11:38.5,->,Flow rate:,66.67,L/m,00:39.0,,61.67
16:11:38.606 -> Flow rate: 66.67 L/m,,,,11:38.6,->,Flow rate:,66.67,L/m,00:39.1,,61.67
16:11:38.700 -> Flow rate: 66.67 L/m,,,,11:38.7,->,Flow rate:,66.67,L/m,00:39.2,,61.67
16:11:38.793 -> Flow rate: 66.67 L/m,,,,11:38.8,->,Flow rate:,66.67,L/m,00:39.3,,61.67
16:11:38.887 -> Flow rate: 58.33 L/m,,,,11:38.9,->,Flow rate:,58.33,L/m,00:39.4,,53.33
16:11:38.981 -> Flow rate: 66.67 L/m,,,,11:39.0,->,Flow rate:,66.67,L/m,00:39.5,,61.67
16:11:39.075 -> Flow rate: 66.67 L/m,,,,11:39.1,->,Flow rate:,66.67,L/m,00:39.6,,61.67
16:11:39.169 -> Flow rate: 66.67 L/m,,,,11:39.2,->,Flow rate:,66.67,L/m,00:39.7,,61.67
16:11:39.310 -> Flow rate: 66.67 L/m,,,,11:39.3,->,Flow rate:,66.67,L/m,00:39.8,,61.67
16:11:39.404 -> Flow rate: 66.67 L/m,,,,11:39.4,->,Flow rate:,66.67,L/m,00:39.9,,61.67
16:11:39.497 -> Flow rate: 66.67 L/m,,,,11:39.5,->,Flow rate:,66.67,L/m,00:40.0,,61.67
16:11:39.591 -> Flow rate: 66.67 L/m,,,,11:39.6,->,Flow rate:,66.67,L/m,00:40.1,,61.67
16:11:39.686 -> Flow rate: 66.67 L/m,,,,11:39.7,->,Flow rate:,66.67,L/m,00:40.2,,61.67
16:11:39.786 -> Flow rate: 58.33 L/m,,,,11:39.8,->,Flow rate:,58.33,L/m,00:40.3,,53.33
16:11:39.876 -> Flow rate: 66.67 L/m,,,,11:39.9,->,Flow rate:,66.67,L/m,00:40.4,,61.67
16:11:39.970 -> Flow rate: 66.67 L/m,,,,11:40.0,->,Flow rate:,66.67,L/m,00:40.5,,61.67
16:11:40.064 -> Flow rate: 66.67 L/m,,,,11:40.1,->,Flow rate:,66.67,L/m,00:40.6,,61.67
16:11:40.191 -> Flow rate: 66.67 L/m,,,,11:40.2,->,Flow rate:,66.67,L/m,00:40.7,,61.67
16:11:40.284 -> Flow rate: 66.67 L/m,,,,11:40.3,->,Flow rate:,66.67,L/m,00:40.8,,61.67
16:11:40.378 -> Flow rate: 66.67 L/m,,,,11:40.4,->,Flow rate:,66.67,L/m,00:40.9,,61.67
16:11:40.472 -> Flow rate: 58.33 L/m,,,,11:40.5,->,Flow rate:,58.33,L/m,00:41.0,,53.33
16:11:40.566 -> Flow rate: 66.67 L/m,,,,11:40.6,->,Flow rate:,66.67,L/m,00:41.1,,61.67
16:11:40.709 -> Flow rate: 66.67 L/m,,,,11:40.7,->,Flow rate:,66.67,L/m,00:41.2,,61.67
16:11:40.803 -> Flow rate: 66.67 L/m,,,,11:40.8,->,Flow rate:,66.67,L/m,00:41.3,,61.67
16:11:40.897 -> Flow rate: 66.67 L/m,,,,11:40.9,->,Flow rate:,66.67,L/m,00:41.4,,61.67
16:11:40.990 -> Flow rate: 66.67 L/m,,,,11:41.0,->,Flow rate:,66.67,L/m,00:41.5,,61.67
16:11:41.085 -> Flow rate: 66.67 L/m,,,,11:41.1,->,Flow rate:,66.67,L/m,00:41.6,,61.67
16:11:41.180 -> Flow rate: 58.33 L/m,,,,11:41.2,->,Flow rate:,58.33,L/m,00:41.7,,53.33
16:11:41.279 -> Flow rate: 66.67 L/m,,,,11:41.3,->,Flow rate:,66.67,L/m,00:41.8,,61.67
16:11:41.371 -> Flow rate: 66.67 L/m,,,,11:41.4,->,Flow rate:,66.67,L/m,00:41.9,,61.67
16:11:41.466 -> Flow rate: 66.67 L/m,,,,11:41.5,->,Flow rate:,66.67,L/m,00:42.0,,61.67
16:11:41.607 -> Flow rate: 66.67 L/m,,,,11:41.6,->,Flow rate:,66.67,L/m,00:42.1,,61.67
16:11:41.701 -> Flow rate: 58.33 L/m,,,,11:41.7,->,Flow rate:,58.33,L/m,00:42.2,,53.33
16:11:41.797 -> Flow rate: 66.67 L/m,,,,11:41.8,->,Flow rate:,66.67,L/m,00:42.3,,61.67
16:11:41.890 -> Flow rate: 58.33 L/m,,,,11:41.9,->,Flow rate:,58.33,L/m,00:42.4,,53.33
16:11:41.984 -> Flow rate: 66.67 L/m,,,,11:42.0,->,Flow rate:,66.67,L/m,00:42.5,,61.67
16:11:42.078 -> Flow rate: 58.33 L/m,,,,11:42.1,->,Flow rate:,58.33,L/m,00:42.6,,53.33
16:11:42.173 -> Flow rate: 58.33 L/m,,,,11:42.2,->,Flow rate:,58.33,L/m,00:42.7,,53.33
16:11:42.268 -> Flow rate: 58.33 L/m,,,,11:42.3,->,Flow rate:,58.33,L/m,00:42.8,,53.33
16:11:42.362 -> Flow rate: 58.33 L/m,,,,11:42.4,->,Flow rate:,58.33,L/m,00:42.9,,53.33
16:11:42.503 -> Flow rate: 58.33 L/m,,,,11:42.5,->,Flow rate:,58.33,L/m,00:43.0,,53.33
16:11:42.597 -> Flow rate: 66.67 L/m,,,,11:42.6,->,Flow rate:,66.67,L/m,00:43.1,,61.67
16:11:42.690 -> Flow rate: 58.33 L/m,,,,11:42.7,->,Flow rate:,58.33,L/m,00:43.2,,53.33
16:11:42.785 -> Flow rate: 66.67 L/m,,,,11:42.8,->,Flow rate:,66.67,L/m,00:43.3,,61.67
16:11:42.880 -> Flow rate: 58.33 L/m,,,,11:42.9,->,Flow rate:,58.33,L/m,00:43.4,,53.33
16:11:42.975 -> Flow rate: 66.67 L/m,,,,11:43.0,->,Flow rate:,66.67,L/m,00:43.5,,61.67
16:11:43.072 -> Flow rate: 66.67 L/m,,,,11:43.1,->,Flow rate:,66.67,L/m,00:43.6,,61.67
16:11:43.168 -> Flow rate: 66.67 L/m,,,,11:43.2,->,Flow rate:,66.67,L/m,00:43.7,,61.67
16:11:43.309 -> Flow rate: 66.67 L/m,,,,11:43.3,->,Flow rate:,66.67,L/m,00:43.8,,61.67
16:11:43.404 -> Flow rate: 66.67 L/m,,,,11:43.4,->,Flow rate:,66.67,L/m,00:43.9,,61.67
16:11:43.497 -> Flow rate: 66.67 L/m,,,,11:43.5,->,Flow rate:,66.67,L/m,00:44.0,,61.67
16:11:43.591 -> Flow rate: 58.33 L/m,,,,11:43.6,->,Flow rate:,58.33,L/m,00:44.1,,53.33
16:11:43.686 -> Flow rate: 66.67 L/m,,,,11:43.7,->,Flow rate:,66.67,L/m,00:44.2,,61.67
16:11:43.780 -> Flow rate: 66.67 L/m,,,,11:43.8,->,Flow rate:,66.67,L/m,00:44.3,,61.67
16:11:43.875 -> Flow rate: 66.67 L/m,,,,11:43.9,->,Flow rate:,66.67,L/m,00:44.4,,61.67
16:11:43.971 -> Flow rate: 66.67 L/m,,,,11:44.0,->,Flow rate:,66.67,L/m,00:44.5,,61.67
16:11:44.066 -> Flow rate: 66.67 L/m,,,,11:44.1,->,Flow rate:,66.67,L/m,00:44.6,,61.67
16:11:44.208 -> Flow rate: 66.67 L/m,,,,11:44.2,->,Flow rate:,66.67,L/m,00:44.7,,61.67
16:11:44.302 -> Flow rate: 66.67 L/m,,,,11:44.3,->,Flow rate:,66.67,L/m,00:44.8,,61.67
16:11:44.396 -> Flow rate: 66.67 L/m,,,,11:44.4,->,Flow rate:,66.67,L/m,00:44.9,,61.67
